Date,Open,High,Low,Close,Adj Close,Volume
08-02-16,486.470001,493.5,475.209991,488.100006,488.100006,9825500
09-02-16,478.01001,498.380005,474,482.070007,482.070007,7045900
10-02-16,491.76001,504.660004,486,490.480011,490.480011,6786200
11-02-16,491.170013,509.299988,484,503.820007,503.820007,7397400
12-02-16,510.700012,516.75,501.48999,507.079987,507.079987,5384800
16-02-16,519.47998,524.450012,511.660004,521.099976,521.099976,5118500
17-02-16,528.73999,537.47998,519.390015,534.099976,534.099976,4824000
18-02-16,541.190002,541.200012,523.72998,525,525,4735000
19-02-16,520.710022,535.950012,515.349976,534.900024,534.900024,4974700
22-02-16,542.200012,560.650024,541.080017,559.5,559.5,5566600
23-02-16,555.549988,556.909973,545.330017,552.940002,552.940002,4050800
24-02-16,545.75,554.27002,533.150024,554.039978,554.039978,6231700
25-02-16,555.52002,559.390015,545.289978,555.150024,555.150024,4510500
26-02-16,560.119995,562.5,553.169983,555.22998,555.22998,4877000
29-02-16,554,564.809998,552.51001,552.52002,552.52002,4145400
01-03-16,556.289978,579.25,556,579.039978,579.039978,5038500
02-03-16,581.75,585,573.700012,580.210022,580.210022,4582200
03-03-16,577.960022,579.869995,573.109985,577.48999,577.48999,2736700
04-03-16,581.070007,581.400024,571.070007,575.140015,575.140015,3416500
07-03-16,573.539978,573.630005,555.549988,562.799988,562.799988,4926900
08-03-16,557.869995,571.349976,554.73999,560.26001,560.26001,4730000
09-03-16,559.559998,560.349976,550.130005,559.469971,559.469971,4377300
10-03-16,566.73999,567,547.900024,558.929993,558.929993,3914300
11-03-16,566.950012,570.059998,562.72998,569.609985,569.609985,3771300
14-03-16,567,576.890015,563.049988,573.369995,573.369995,3454200
15-03-16,571,581.52002,567,577.02002,577.02002,3876800
16-03-16,576.640015,581.320007,571.140015,574.27002,574.27002,3537700
17-03-16,569.51001,571.400024,555.01001,559.440002,559.440002,5928100
18-03-16,560.940002,562.330017,546.090027,552.080017,552.080017,7296900
21-03-16,548.909973,555.23999,538.580017,553.97998,553.97998,5155700
22-03-16,545.109985,562.76001,545.049988,560.47998,560.47998,4000600
23-03-16,561,572.47998,558.099976,569.630005,569.630005,3983700
24-03-16,567.109985,583.549988,567.080017,582.950012,582.950012,5185500
28-03-16,584.400024,584.75,575.559998,579.869995,579.869995,3121500
29-03-16,580.150024,595.849976,576.5,593.859985,593.859985,4167100
30-03-16,596.710022,603.23999,595,598.690002,598.690002,3890500
31-03-16,599.280029,600.75,592.210022,593.640015,593.640015,2681800
01-04-16,590.48999,599.030029,588.299988,598.5,598.5,2917400
04-04-16,599,599.5,590.549988,593.190002,593.190002,2470800
05-04-16,590.77002,593.469971,585.25,586.140015,586.140015,2308900
06-04-16,587.52002,602.390015,587.5,602.080017,602.080017,2833500
07-04-16,598.76001,599.599976,589.080017,591.429993,591.429993,3189000
08-04-16,594.320007,597.859985,589,594.599976,594.599976,2591900
11-04-16,596.140015,604,594.909973,595.929993,595.929993,2704300
12-04-16,598.400024,604.059998,592.309998,603.169983,603.169983,2636300
13-04-16,607.679993,616.809998,605.289978,614.820007,614.820007,4228300
14-04-16,615.070007,624.380005,615.070007,620.75,620.75,3474300
15-04-16,621.919983,626.77002,618.109985,625.890015,625.890015,2887700
18-04-16,625.349976,637.640015,624.960022,635.349976,635.349976,4336400
19-04-16,637.140015,638.01001,620.799988,627.900024,627.900024,4055900
20-04-16,630,636.549988,623,632.98999,632.98999,2609400
21-04-16,631,637.820007,628.5,631,631,2596300
22-04-16,624.469971,628.25,611.559998,620.5,620.5,5083900
25-04-16,616.609985,626.97998,616.25,626.200012,626.200012,2682900
26-04-16,626.169983,626.75,614.880005,616.880005,616.880005,2521400
27-04-16,611.799988,615.950012,601.280029,606.570007,606.570007,4068800
28-04-16,615.539978,626.799988,599.200012,602,602,7872600
29-04-16,666,669.97998,654,659.590027,659.590027,10310700
02-05-16,663.919983,685.5,662.030029,683.849976,683.849976,6578500
03-05-16,677.359985,680.299988,670.429993,671.320007,671.320007,4923400
04-05-16,662.590027,674,662.140015,670.900024,670.900024,4574500
05-05-16,673.309998,676.48999,656,659.090027,659.090027,4884100
06-05-16,656.049988,676.950012,656.01001,673.950012,673.950012,4365300
09-05-16,673.950012,686.97998,671.409973,679.75,679.75,3982200
10-05-16,694,704.549988,693.5,703.070007,703.070007,6087000
11-05-16,705.789978,719,701.650024,713.22998,713.22998,7338200
12-05-16,717.380005,722.450012,711.51001,717.929993,717.929993,5048200
13-05-16,714.640015,719.25,706.51001,709.919983,709.919983,4763400
16-05-16,710.130005,713.25,700.280029,710.659973,710.659973,5432900
17-05-16,709.900024,714.469971,693.909973,695.27002,695.27002,5121400
18-05-16,689.559998,702.539978,688.76001,697.450012,697.450012,4283200
19-05-16,691.880005,699.400024,689.559998,698.52002,698.52002,3025600
20-05-16,701.049988,707.23999,700,702.799988,702.799988,2916200
23-05-16,704.25,706,696.419983,696.75,696.75,2579200
24-05-16,698.01001,707.5,698,704.200012,704.200012,3033800
25-05-16,708,710.859985,705.52002,708.349976,708.349976,3267700
26-05-16,708.330017,715,707.289978,714.909973,714.909973,2436800
27-05-16,715,716.599976,711.099976,712.23999,712.23999,2249200
31-05-16,712.330017,724.22998,711.320007,722.789978,722.789978,3618300
01-06-16,720.900024,726.429993,718.219971,719.440002,719.440002,3263100
02-06-16,720.969971,728.280029,715.5,728.23999,728.23999,3020700
03-06-16,726.73999,727,718.429993,725.539978,725.539978,3367300
06-06-16,726.5,731.5,724.419983,726.72998,726.72998,2704800
07-06-16,729.890015,730,720.549988,723.73999,723.73999,2732500
08-06-16,726.400024,729.419983,721.599976,726.640015,726.640015,2223400
09-06-16,723.099976,728.909973,722.299988,727.650024,727.650024,2170300
10-06-16,722.349976,724.97998,714.210022,717.909973,717.909973,3425700
13-06-16,714.01001,721.98999,711.159973,715.23999,715.23999,3352200
14-06-16,712.330017,720.809998,712.27002,719.299988,719.299988,2506900
15-06-16,722,722.559998,713.349976,714.26001,714.26001,2709400
16-06-16,712.049988,718,705.299988,717.51001,717.51001,3098000
17-06-16,718.190002,718.200012,699.179993,706.390015,706.390015,5897800
20-06-16,713.5,721.309998,710.809998,714.01001,714.01001,3677200
21-06-16,715.719971,718.400024,712.719971,715.820007,715.820007,2137500
22-06-16,716.580017,717,707.570007,710.599976,710.599976,2260500
23-06-16,715.5,722.119995,712.5,722.080017,722.080017,2825000
24-06-16,693,712.530029,692.200012,698.960022,698.960022,7632500
27-06-16,692.01001,696.820007,682.119995,691.359985,691.359985,5568000
28-06-16,700,708,698.169983,707.950012,707.950012,4037000
29-06-16,715.75,719.5,713.539978,715.599976,715.599976,3070100
30-06-16,717.200012,719.369995,712.539978,715.619995,715.619995,2855100
01-07-16,717.320007,728,716.539978,725.679993,725.679993,2920400
05-07-16,722.799988,729.559998,719.609985,728.099976,728.099976,2431400
06-07-16,725.710022,737.77002,722.580017,737.609985,737.609985,3938200
07-07-16,739.330017,739.549988,731.630005,736.570007,736.570007,2936700
08-07-16,740.140015,746.099976,738,745.809998,745.809998,3429200
11-07-16,750,755.900024,747,753.780029,753.780029,3195300
12-07-16,756.859985,757.340027,740.330017,748.210022,748.210022,5623700
13-07-16,746.76001,756.869995,741.25,742.630005,742.630005,4142300
14-07-16,748.859985,749.039978,739.02002,741.200012,741.200012,2390500
15-07-16,746.549988,746.549988,734.049988,735.440002,735.440002,3121400
18-07-16,735.48999,741.599976,728.719971,736.070007,736.070007,2954900
19-07-16,732.5,743.330017,732.309998,739.950012,739.950012,2216800
20-07-16,744,746.25,740.700012,745.719971,745.719971,2214000
21-07-16,747.5,749.359985,742.789978,744.429993,744.429993,2317100
22-07-16,747.789978,751.280029,743.530029,744.859985,744.859985,2277700
25-07-16,746.549988,748.5,735.349976,739.609985,739.609985,2679300
26-07-16,742.710022,743.130005,732.75,735.590027,735.590027,2529700
27-07-16,737.969971,740.940002,733.859985,736.669983,736.669983,2831800
28-07-16,745.97998,753.359985,739.700012,752.609985,752.609985,7617600
29-07-16,765,766,755,758.809998,758.809998,6777100
01-08-16,759.869995,770.5,757.059998,767.73999,767.73999,3578200
02-08-16,763.809998,765.01001,757.02002,760.580017,760.580017,3603300
03-08-16,757.059998,758.890015,752.25,754.640015,754.640015,3581500
04-08-16,753.700012,765,750.349976,760.77002,760.77002,3176000
05-08-16,764.809998,768.469971,763.090027,765.97998,765.97998,2704400
08-08-16,766.809998,767,761.02002,766.559998,766.559998,1986300
09-08-16,767.390015,772.599976,766.900024,768.309998,768.309998,1876100
10-08-16,769.799988,772.099976,766.190002,768.559998,768.559998,1604300
11-08-16,769.940002,773.75,769.119995,771.23999,771.23999,2016300
12-08-16,768.460022,773.150024,768.419983,772.559998,772.559998,1563300
15-08-16,771.900024,772.039978,767.710022,768.48999,768.48999,2118500
16-08-16,768.619995,768.72998,763.820007,764.039978,764.039978,1604600
17-08-16,764.409973,765.219971,759.200012,764.630005,764.630005,1891100
18-08-16,764,765.169983,760.599976,764.460022,764.460022,1458800
19-08-16,761.900024,762.48999,756.890015,757.309998,757.309998,2343200
22-08-16,757.5,759.849976,752.099976,759.47998,759.47998,1679300
23-08-16,763.309998,764.700012,761,762.450012,762.450012,1524100
24-08-16,763,763.409973,755.359985,757.25,757.25,1744100
25-08-16,756,760.559998,754.73999,759.219971,759.219971,1623000
26-08-16,760.049988,770,759.799988,769,769,2776800
29-08-16,768.719971,774.97998,768.599976,771.289978,771.289978,2185700
30-08-16,771.049988,771.840027,765.559998,767.580017,767.580017,1709200
31-08-16,766.599976,769.640015,764,769.159973,769.159973,1633800
01-09-16,770.900024,772.039978,766.75,770.619995,770.619995,1792300
02-09-16,774.109985,776,771.700012,772.440002,772.440002,2181800
06-09-16,774.039978,789.47998,770.219971,788.869995,788.869995,3719800
07-09-16,789.530029,790.789978,784.330017,784.47998,784.47998,2424600
08-09-16,783.890015,786.5,781.440002,784.059998,784.059998,2026400
09-09-16,779.359985,781,760.109985,760.140015,760.140015,4257300
12-09-16,757.349976,772.659973,756,771.48999,771.48999,3124700
13-09-16,768.77002,769.890015,759.049988,761.01001,761.01001,3117200
14-09-16,762.200012,767.5,758.849976,761.090027,761.090027,2523000
15-09-16,762,770.869995,757.580017,769.690002,769.690002,3034000
16-09-16,773.280029,780.460022,771.659973,778.52002,778.52002,5499200
19-09-16,779.969971,781.940002,771,775.099976,775.099976,2292500
20-09-16,776,781.369995,776,780.219971,780.219971,1937200
21-09-16,783.25,790.690002,779.01001,789.73999,789.73999,2718600
22-09-16,794.27002,805.890015,794.27002,804.700012,804.700012,4078900
23-09-16,803.130005,807.75,802.119995,805.75,805.75,2353500
26-09-16,801.799988,805.929993,797.150024,799.159973,799.159973,2651400
27-09-16,801.849976,816.640015,801.109985,816.109985,816.109985,3819600
28-09-16,818,830.140015,817.030029,828.719971,828.719971,4422100
29-09-16,828.26001,837.5,824.630005,829.049988,829.049988,4922200
30-09-16,832.609985,839.950012,832.400024,837.309998,837.309998,4430600
03-10-16,836,839.859985,831.25,836.73999,836.73999,2769400
04-10-16,840.909973,842.369995,830.26001,834.030029,834.030029,2950300
05-10-16,838,845.669983,836.119995,844.359985,844.359985,3469100
06-10-16,843.700012,847.210022,840.599976,841.659973,841.659973,2684000
07-10-16,845.789978,845.950012,837.450012,839.429993,839.429993,2426200
10-10-16,843.25,845.200012,840.27002,841.710022,841.710022,1818000
11-10-16,841.02002,841.289978,828.349976,831,831,3588200
12-10-16,834,837.669983,830.099976,834.090027,834.090027,2380400
13-10-16,829,831.799988,821.210022,829.280029,829.280029,3091400
14-10-16,835.080017,835.73999,822.960022,822.960022,822.960022,2999800
17-10-16,821.5,822,811.679993,812.950012,812.950012,3361500
